음식ID,이름,탄,단,지
351,피자_밤호박 피자 흑미스크린 (L),,10.0,
352,피자_밤호박 피자 흑미스크린 (R),,9.2,
353,피자_밤호박 피자 흑미스크린치즈크러스트 (L),,10.69,
354,피자_밤호박 피자 흑미스크린치즈크러스트 (R),,10.2,
355,피자_버팔로 피자 고구마크러스트 (L),,10.76,
356,피자_버팔로 피자 고구마크러스트 (R),,10.57,
357,피자_버팔로 피자 밀스크린 (L),,11.27,
358,피자_버팔로 피자 밀스크린 (R),,11.54,
359,피자_버팔로 피자 밀스크린고구마크러스트 (L),,10.39,
360,피자_버팔로 피자 밀스크린고구마크러스트 (R),,10.62,
361,피자_버팔로 피자 밀스크린체다크림크러스트 (L),,11.04,
362,피자_버팔로 피자 밀스크린체다크림크러스트 (R),,10.53,
363,피자_버팔로 피자 밀스크린치즈크러스트 (L),,11.69,
364,피자_버팔로 피자 밀스크린치즈크러스트 (R),,11.3,
365,피자_버팔로 피자 백미스크린 (L),,11.59,
366,피자_바질플렉스 피자 (XL),,15.6,
367,피자_반&반 피자 골드스윗 (L),,14.4,
368,피자_반&반 피자 골드스윗 (R),,13.73,
369,피자_반&반 피자 리코타링 (L),,14.91,
370,피자_반&반 피자 리코타링 (R),,14.89,
371,피자_반&반 피자 석쇠 (L),,14.85,
372,피자_반&반 피자 석쇠 (R),,14.88,
373,피자_반&반 피자 씬도우 (L),,16.22,
374,피자_반&반 피자 씬도우 (R),,14.68,
375,피자_반&반 피자 치즈링 (L),,15.52,
376,피자_반&반 피자 치즈링 (R),,15.54,
377,피자_반미터네가지 피자 (L),,11.79,
378,피자_반올림고구마골드 피자 (R),,9.49,
379,피자_발사믹 피자 (F),,15.73,
380,피자_발사믹 피자 (L),,15.49,
381,피자_발사믹 피자 (R),,15.25,
382,피자_밤스위트골드 피자 (F),,16.11,
383,피자_밤스위트골드 피자 (L),,16.27,
384,피자_밤스위트골드 피자 (R),,17.38,
385,피자_몬스터불고기 피자 (L),,13.66,
386,피자_몬스터스테이크불갈비 피자 (L),,13.78,
387,피자_몬스터이탈리안 피자 (L),,17.86,
388,피자_몬스터콤비네이션 피자 (L),,14.81,
389,피자_몬스터페퍼로니 피자 (L),,15.31,
390,피자_몬스터포테이토 피자 (L),,11.42,
391,피자_몬스터하와이안쉬림프 피자 (L),,11.53,
392,피자_몽뻬르 피자 (L),,15.76,
393,피자_묻고페퍼더블로가 피자 (R),,16.67,
394,피자_묻고페퍼더블로가 피자 (L),,15.97,
395,피자_미스터트리오 피자 골드 (L),,11.76,
396,피자_미스터트리오 피자 골드 (R),,11.88,
397,피자_미스터트리오 피자 노엣지 (L),,11.87,
398,피자_미스터트리오 피자 노엣지 (R),,12.36,
399,피자_미스터트리오 피자 에그타르트 (L),,10.96,
400,피자_미스터트리오 피자 에그타르트 (R),,10.89,
401,피자_미스터트리오 피자 치즈캡 (L),,12.92,
402,피자_미스터트리오 피자 치즈캡 (R),,13.0,
403,기타차_카페오르조,,0.28,
404,피자_마약옥수수 피자,,12.12,
405,피자_매드쉬림프피자(L),,11.99,
406,피자_매운불고기 피자,,12.25,
407,피자_매콤불고기 피자 (L),,13.7,
408,피자_매콤핫치킨 피자 (L),,11.61,
409,피자_맵고달고 피자 (L),,6.59,
410,피자_맵단불고기 피자,,10.99,
411,피자_메가쉬림프 피자 (L),,13.08,
412,피자_멕시칸바이트 피자,31.63,13.27,8.16
413,피자_멕시칸하바네로 피자 골드 (L),,15.87,
414,피자_멕시칸하바네로 피자 골드 (R),,15.03,
415,피자_멕시칸하바네로 피자 씬크러스트 (R),,15.74,
416,피자_멕시칸하바네로 피자 에그타르트 (L),,14.29,
417,피자_멕시칸하바네로 피자 에그타르트 (R),,14.38,
418,피자_멕시칸하바네로 피자 오리진 (L),,13.76,
419,피자_멕시칸하바네로 피자 오리진 (R),,16.99,
420,피자_멕시칸하바네로 피자 치즈캡 (L),,16.93,
421,피자_멕시칸하바네로 피자 치즈캡 (R),,20.92,
422,기타차_청포도 그린티+알로에 (L),,0.21,
423,피자_리얼치즈 피자 밀도우 (L),,13.39,
424,피자_리얼치즈 피자 밀도우 (R),,8.93,
425,피자_리얼치즈 피자 씬도우 (L),,13.41,
426,피자_리얼치즈 피자 씬도우 (R),,8.95,
427,피자_리얼큐브달달구마 피자 (L),,13.36,
428,피자_리얼페퍼로니피자(L),,17.25,
429,피자_리얼핫도그 피자 (L),,11.76,
430,피자_리얼핫도그 피자 (M),,10.55,
431,피자_리치고구마치킨 피자 골드스윗 (L),,13.18,
432,피자_리치고구마치킨 피자 골드스윗 (R),,13.23,
433,피자_리치고구마치킨 피자 리코타링 (L),,13.56,
434,피자_리치고구마치킨 피자 리코타링 (R),,13.87,
435,피자_리치고구마치킨 피자 석쇠 (L),,13.33,
436,피자_리치고구마치킨 피자 석쇠 (R),,13.73,
437,피자_리치고구마치킨 피자 씬도우 (L),,12.72,
438,피자_리치고구마치킨 피자 씬도우 (R),,12.31,
439,피자_리치고구마치킨 피자 치즈링 (L),,14.17,
440,피자_리치고구마치킨 피자 치즈링 (R),,14.61,
441,기타차_청포도 그린티+알로에 (J),,0.15,
442,피자_리얼단호박 피자 밀도우 (R),,3.48,
443,피자_리얼단호박 피자 씬도우 (L),,5.23,
444,피자_리얼단호박 피자 씬도우 (R),,3.48,
445,피자_리얼랍스터스테이크 피자 골드스윗 (L),,13.77,
446,피자_리얼랍스터스테이크 피자 리코타링 (L),,14.29,
447,피자_리얼랍스터스테이크 피자 석쇠 (L),,14.04,
448,피자_리얼랍스터스테이크 피자 씬도우 (L),,14.14,
